OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
773aa17369f328e8da600017fdfa1aa4,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__VUNI01,s__VUNI01 sp009695765
3932993ef5905a6a4e60b15b3625a770,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Lawsonibacter,s__
dcf939dc2f792b859cfaf8c7302cbfda,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Peptostreptococcales,f__Anaerovoracaceae,g__Copromorpha,s__Copromorpha sp900066305
268ddebfb987d62b0925b9dd674e0683,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Negativibacillus,s__Negativibacillus massiliensis
7a01d37cb44cc795bf61e2976234189f,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-74,g__SFMI01,s__SFMI01 sp004556155
3e1e29cebb46bfac3545c2c47b5935ae,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-74,g__,s__
b2a1556ab9843bcc99ca2a7afb4cfaf9,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__
794fc6dd4fc2bcbc8bce0dbc546ff440,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__Ligilactobacillus agilis
8d17507ff4139ced3880e8a230997101,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__RUG410,s__
36092224d870f72981bdb1bd4d5a9595,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__CAG-274,g__CAG-274,s__CAG-274 sp900545305
52f7c681253e04edc7702a0a38f50304,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,NA
d1554f795ef146222f0ffbc43be6bd82,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__,g__,s__
d1c0be283108cb1c3026bbd593fe82cb,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Succinivibrionaceae,g__Succinivibrio,s__Succinivibrio sp000431835
1e48176a6739da0eae600d9e2d580aaa,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA2903,s__UBA2903 sp002438565
1e2e8cf0fd5d39c0e1da537ffa66aaa2,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__CAG-417,s__
5608da8fe1de0bc4087903bc3074643d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D porcinum
64b96701d2400620ee6dd7cd734edc53,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__
a9b01f6fd43119db20ab6e7139aba048,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Stercorousia,NA
292c9363219725c64474d53fa7a10dd0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger_A_73129,NA
54ab75358f45f0a895dea957ad859cdd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Ventrimonas,s__
473c0738ba2f8ec665656d140656b99e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_J,NA
642f05a739634d269038e77f60edd04a,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__CAG-632,s__CAG-632 sp900539185
df56c22fabaef1417d4df2867b9e566d,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__CAG-628,s__CAG-628 sp003524085
48a96c272e41015eac261abfe9cb6640,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__
040afb37ff1ece38e2fad61f2614508b,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__CAG-710,s__CAG-710 sp000432595
a361d6b053ce9d38182128a316635e3e,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis lenta
e46e99f871a42c8eb8f21142a6158d33,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_A,NA
e5aa8ac2451c722258d22bb08aef65b9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella lascolaii
f11be902845e2ccaf62270b041f97c84,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__,g__,s__
0c0ff15c3ae31509f12b2759a687caed,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__Victivallis vadensis
e87352df0a5649973fe7bc34a1bab457,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,s__
27530fffb8e04d0177d3d2bb23cae4a9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp902792815
5c2e162e3fcce23e3112e620def6b259,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum
f8481b2a19841e2c02b4860f25aa9629,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__
6c39ff57d9f751c11ce869941e742e9e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Limivivens,s__
718be274e36083f02047feb0afbd6207,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Clostridium_AQ,s__Clostridium_AQ innocuum
6cae57365477cf2f625b3fe40c9dc617,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__UBA2658,s__UBA2658 sp009929315
e6661ed1e0c0e219817ba178c10787d8,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Limivicinus,s__Limivicinus sp002320035
932f723889687c51d6db4d6089c2b118,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella timonensis
4d477d6dd539923bbc13eca3f88adae5,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__
b7b21e9a6b67f6d369ba6caef24a5fd3,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000431335
2cb35dfc633f567df240136383d0cefe,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000431335
3a1772d8078b74644ef5bad2b22b33d2,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__COE1,s__
3d6ab3765e10f37a2ce0e94cf25df0a4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Limisoma,s__Limisoma sp900548875
df170e9aa21af8ea6b51ccd9545925c4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA3263,s__UBA3263 sp001689615
13d6c9d8d894b462078ae401f24eaeda,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Limivicinus,s__Limivicinus sp002320035
ec1cb45b8d357cc1e10a436435d7ca19,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__CAG-533,s__CAG-533 sp000434495
b4f13c268b5f14b112a206c0cff8e23a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 sartorii
a2a6b012c27fe51a50a94ab9932f6e81,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Zag111,s__
fcc66d84f53cdd52ddfb1018cdc59e79,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__,s__
dcc29c5eda9adb7a0b4f434187f29d0f,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_574938,g__Oxalobacter_566322,s__Oxalobacter formigenes_B
271e4e8c2676d4afc091e6377757c2ff,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Bariatricus,s__
13dea0c85165b289eb500c1d0e7dbb4d,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Faecousia,s__Faecousia sp000434635
8925330dc5e9e21f31eec0101d02f5cd,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,NA,NA,NA
6cfa2aa3e48cff05726723a8067c9cf6,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,NA,NA
6ef916d4828c9cd16a341519edd54107,d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Mailhella,s__Mailhella massiliensis
61dc618ffd5c07da8236cb867499b008,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA6398,s__UBA6398 sp002451695
f326cf248a8afa9c06096025a942cb84,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_D,s__
818f2bc1391bc9c103501f721dbf5407,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,NA,NA
63add3f0c617e6dc6dc7ac349ec82063,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_Q,s__
d7e44c932c551da8eeedd8ac53f01a02,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales_993521,f__Fusobacteriaceae_993521,g__Fusobacterium_C,s__Fusobacterium_C gonidiaformans
4eace33d561794b7b40f44d78917a284,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales_993521,f__Fusobacteriaceae_993521,g__Fusobacterium_B,s__
8ed1592fa40983f9445b0f29b7a697ab,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata_1773,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__UBA71 sp002506425
bc6d2cf3a0131daafa2fb10e9774bf5c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-74,g__SFMI01,s__
f016f99b25b51ca4842931e01d568dd0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Merdibacter,s__Merdibacter massiliensis
18cccbdc5896263ff1b7e4ef0f0c2dc3,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__UBA1829,g__UBA11452,s__
cc8eecf16bd4f5b8a05dc6d33a8b8447,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus fermentum
10d4f7de417923944f82eb8131e57035,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__
60ba0b52c55f92cbd82feab26a909105,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,s__
4c02e619f16972defa799282f3b102d4,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,NA,NA
4fbcd509afbb216614a350971188c20d,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__
67323ce6d3a895f8ab47372f1ac100e6,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Enterenecus,s__
dbadd8935a42590900724f074cf3dabd,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Erysipelatoclostridium,NA
9d63d70f71240fa3d55b09b6ed07b316,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-382,g__SFLA01,s__SFLA01 sp004553575
b003e09eecd8c0a2c9b92257d0bb2cae,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,s__Butyribacter sp001916135
d48497047feb5dace60353aa7dc792ca,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Lawsonibacter,s__Lawsonibacter sp000177015
b7ef547af618b67161888ddfcf6b450d,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Lawsonibacter,s__Lawsonibacter sp000177015
649865ab4c1ceac64c182bb5737a2fba,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__UBA1394,s__UBA1394 sp900066845
8b15791b441c4ec913462caf563d6174,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,NA,NA
6b9325ca44f2803c25e843cecb2544f2,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__,s__
ae8e60b248f048a8b5cb874720bab05e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__AM51-8,s__AM51-8 sp003478275
592f227208daccd1ddd31ef02e121f8e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__
cdb613650e212ff76c206ad9251b2277,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister succinatiphilus
763c6971a6d7db7f6b52ac15cdfae035,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__UBA6984,s__UBA6984 sp003258725
d297ac0639999f31d16be8cfa498e4de,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__UBA5905,s__
98c9fc2b73b10ae434bb448c11cc5713,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__,f__,g__,s__
3409e2abce1ba6dc8863eaa897404f9c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__
1c48fd6345ffc08558b71db4b7e33311,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Peptostreptococcales,f__Anaerovoracaceae,g__,s__
d09aa4d6372f7ab6cd682df3e3a3d2c6,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Limenecus,s__Limenecus avicola
c7c44f038c565530f556d47f74f18912,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__,s__
364637a30b5acc414584e5c5752ab34f,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__,s__
f73a1fedf5fb1ab6bdcb6116ef9654bd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,s__Blautia_A_141781 faecis
a16c2dd355c874d21a699055de50fdc2,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Faecousia,s__Faecousia sp000434635
8e9138291c93406988f0b19ed79b03ad,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__UBA1381,f__UBA1381,g__CAG-41,s__CAG-41 sp001941225
054125253a7b8acec0040a56b9887455,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,NA,NA
77c3857f39a914d68117114dae6ff9fa,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__,s__
e8e74f35a5901db14d3e72cc825bb132,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,NA
ba2eb4bd3faa80b442aa2a4f8667a6a8,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__,s__
05c0356bf83ee26866d95dbb04dacabe,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Faecousia,s__Faecousia sp000434635
88648ab9bf29f91ae5bf1e4d5007d6db,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia massiliensis
6dd626720497f17c62c4dcad76c16bbc,d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila,s__Bilophila wadsworthia
7882120f9b99094d7d4b3c6c07d83ab9,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_D,s__Ruminococcus_D sp000434695
be04cb4f20cb338ca7379547c7336bbd,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella hominis
19c5e6e93dedaa260cdf1f02606ff960,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,NA
15702062b0b876c7a8566ed3601e6975,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,NA,NA
ae649871c632330478b64eca53853532,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_595427,f__Burkholderiaceae_A_595427,g__Aphodousia,NA
afbe9fac151080dee25d439793d482bf,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,s__
c610e79ded9155d586ae70316c54b244,d__Bacteria,NA,NA,NA,NA,NA,NA
ca0391861e763d42c1a5505766fe0c29,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Duncaniella,s__
ab01694dbe602d7ca80977adba0f0fb0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella hominis
8c9b6ef7e1f8e9b9d1a110bd7d8125ee,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp002437725
d30e696225adc40cc59d13ce17b23b44,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea
e273d59b2bc0281bf70414a6a645c1b3,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,s__Barnesiella intestinihominis
1dbde9dcdf6a9dc9066941b03ff3cda4,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Frisingicoccus,s__Frisingicoccus caecimuris
f1bbbec5060a19aa6e60e763fd9acfce,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella,NA
4a0a3016040e71e93e8051cd5b2d5388,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__
e87b833b263e29bc231929edf3061a21,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H massiliensis
a8e84952bddd929b4c3f66906d9bfcc4,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,s__
ff7c728a2309013e950c61e2deae7757,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira eligens
c23cc98c4808def009cf21bc166edc82,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,NA,NA
6179353f8f7cf11a5cff32b35275a628,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister micraerophilus
ced56494bfc55ef67e44dd0319b20d20,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp900540205
839ef291e9f3297b5173f26759d9f3f3,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Acetivibrionales,f__DSM-8532,g__,s__
ba33ce1dd4e3d89df36ebb129d622ed7,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,NA,NA
1f10a356c09221ff8fa495483578f1cc,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Caproicibacterium,s__
cc2c34865276865b0834af2e753bad11,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,NA,NA,NA,NA
f27854dc7a08d5b32638e7f02d2f5abe,d__Bacteria,p__Firmicutes_B_370539,c__Peptococcia,o__Peptococcales,f__Peptococcaceae_369362,g__Peptococcus,s__Peptococcus niger
240b873eef4cc645af16a2343fc7f9cc,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales_993777,f__Leptotrichiaceae,g__Sneathia,s__Sneathia vaginalis
0976a7f6a04147b67a895642ecabcd1b,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,g__Anaeroplasma,s__Anaeroplasma abactoclasticum
f4ee702212fb04fec28b15fcacfb71fe,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,NA
74764391600d8af61ce61df400a72865,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__CAG-272,g__RUG13077,s__
f59a666966e73a66e2cd10ab2ed66ac8,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__
8f62d545ecb1feb5e80c53246d162aff,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q_134516,NA
5d5347ad67a5243f4bf03751e91aeef5,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Catenibacillus,s__Catenibacillus scindens
287a544a57a1718866dddfdddfbafb94,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-74,g__,s__
0f076f698f120fdba54e91793b8d7074,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__UBA1259 sp900320065
a8b58c8ee034b4e9fd29991ef7b14700,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__,s__
48d9f84cbe3e900eaea5c85222167bec,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__,s__
69d4320e6d47dfc7d256c6421654053e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__CAG-632,s__CAG-632 sp900539185
98e7345a2b5b527791384d81cafc0dcd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Lawsonibacter,s__Lawsonibacter sp000492175
e90bc13ada1448f3e3fc3803c25aa1b4,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Granulicatella,NA
3b615a0dacf8cf45d67967c016e1908a,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Clostridiales,f__Clostridiaceae_222000,g__Clostridium_T,s__Clostridium_T chartatabidum
10d07014d57da25810b78ef6ea15461c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__UBA929,g__WRAI01,s__WRAI01 sp009780275
ad0f000c712854c6404d47cb724fb2c1,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_D,s__Ruminococcus_D sp900604945
9af589a8f30aebcb096b865638491cb8,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000431335
923d8725a652a952e4b7348af252e6bd,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__,s__
87116fc7ba91a323cd52197a39df970e,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__Scybalousia,s__Scybalousia sp900543675
add159a110a5c0b3779fa4dd8b891da0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 sartorii
29769eb7945250c8eb544bd307421264,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H rodentium
9e202ec9c34b65c75653ecb68f0a9686,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp000431335
98e5897ec6fd4c0f79c7c58f56214b3c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,NA,NA
41463bac31149696d0178616c648345d,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,NA
794bbb26286415744c31b5d85727f771,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__Victivallales,f__Victivallaceae,g__Victivallis,s__
0b661b71e724a2d4ac07226e10fbd213,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__RF39,f__UBA660,g__,s__
764155fd2ae39b81a6d138bd8b7c5b3a,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Paludicola,s__Paludicola psychrotolerans
5d8271835a3f55e4948663dd7773b14d,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Parafannyhessea,s__Parafannyhessea umbonata_A
